order	patch_no	decision	category	sha256	filename	reason
1	1	skip	build/packaging	07e352b41d3b63bfd7c3573d29fbfc938d97660e057468b7724a1590af5435d8	php-5.3.3-gnusrc.patch	build/packaging glue, not a source security/bug backport
2	2	skip	build/packaging	5fd4d07ee66d7ae422722ef291106424135864e5338af47296e5820788e9ebc9	php-5.3.0-install.patch	build/packaging glue, not a source security/bug backport
3	3	skip	build/packaging	71223a9eb6dc66a10ac1afa56e8dc7017e21125c0960da9b59efc5097d51618f	php-5.2.4-norpath.patch	build/packaging glue, not a source security/bug backport
4	4	skip	build/packaging	1adffb6c6770b36a8960c60c2b18888b03e47204e260707c2d00841d84d1d8fa	php-5.3.0-phpize64.patch	build/packaging glue, not a source security/bug backport
5	5	skip	build/packaging	93b002c43b9b497b259c044dc97f79d4340fed2aed3f7dfd8d0d5d9bc14893cb	php-5.2.0-includedir.patch	build/packaging glue, not a source security/bug backport
6	6	skip	build/packaging	3144130caad2d66daba8c1d5db77ceb9045a390639fadb2b4b0cbfbfc18f183b	php-5.2.4-embed.patch	build/packaging glue, not a source security/bug backport
7	7	skip	build/packaging	9d974b64d7a5bbefc200b84bbca1f86986c97904932e53c6cd5ce499f55c5526	php-5.3.0-recode.patch	build/packaging glue, not a source security/bug backport
8	8	skip	build/packaging	afe7e4b20998eae5412688ece2ee169d235e828710f744b2f0b1243b20b2347a	php-5.3.12-aconf26x.patch	build/packaging glue, not a source security/bug backport
9	9	skip	build/packaging	69f5cd0e2271b03c9829021ab04469ae1ddfed6a6dd1fc77689faaf516ef1595	0001-Update-libxml-include-file-references.patch	build/packaging glue, not a source security/bug backport
10	11	skip	build/packaging	241cc68ef782573924ed1ca7803f5ddbe697e45c24bebedf80f4d096e4004117	0002-libxml2.15-compatibility.patch	build/packaging glue, not a source security/bug backport
11	20	skip	build/packaging	7c89314522b4310243a09d4b1741a379bc4c2964acd99f16cc76238e1ff9660a	php-4.3.11-shutdown.patch	build/packaging glue, not a source security/bug backport
12	40	skip	build/packaging	d310c622a73d225974f745a94ac536c12dd67c27fc38b3f4e44a845b7c97863a	php-5.0.4-dlopen.patch	build/packaging glue, not a source security/bug backport
13	41	skip	build/packaging	183f33be9b43e81b7aefc72619a952549980056fb48d51bdc4450c54c97e7b45	php-5.3.0-easter.patch	build/packaging glue, not a source security/bug backport
14	43	skip	build/packaging	2f7cf476bbb25ca847189c1a090e8806ee25e375f8c11f9acbad55a0089d25e4	php-5.3.29-core4zend_mm_panic.patch	build/packaging glue, not a source security/bug backport
15	61	skip	build/packaging	880c914233065ce99bbe0a8b77d0c8fc47c92b42d2718de6dc135acc8b92cb9f	php-5.0.4-tests-wddx.patch	build/packaging glue, not a source security/bug backport
16	100	skip	build/packaging	5cd12a93a0477b184d34db9bca1ff2533cfbc7b9ab8e64987a9ea0439cdca869	php-5.4.x-fpm-user-ini-docroot.patch	build/packaging glue, not a source security/bug backport
17	101	skip	vendor/sapi	b29a36b558d2d27c1494091afaae0e9c85429881e739a84290f7fdb815e58e40	php-5.4.x-fpm-jailshell.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
18	102	skip	vendor/sapi	a9eb55eb8be1b8760798c5b2c8c7a5263dbe7065b47ad0dc589008def7e0b033	cloudlinux-php-fpm.5.3.dl.ea-php.v3.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
